Mileage,City/town,Elevation,NetChange
0,Hopkinton,490,0
1,Hopkinton,360,-130
2,Hopkinton,320,-40
3,Ashland,265,-55
4,Ashland,180,-85
5,Ashland,205,25
6,Framingham,180,-25
7,Framingham,155,-25
8,Natick,180,25
9,Natick,150,-30
10,Natick,170,20
11,Natick,180,10
12,Wellesley,165,-15
13,Wellesley,145,-20
14,Wellesley,130,-15
15,Wellesley,160,30
16,Wellesley,60,-100
17,Auburndale,115,55
18,Newton,145,30
19,Newton,130,-15
20,Newton,150,20
21,Newton,230,80
22,Brighton,150,80
23,Brookline,95,-55
24,Brookline,60,-35
25,Boston,15,-45
26,Boston,10,-5
